Sukunimi;Yhteensä
Ruokonen;1159
Haapamäki;1158
Fagerström;1157
Siivonen;1155
Rantamäki;1153
Granholm;1150
Tuononen;1150
Kannisto;1149
Raappana;1149
Julkunen;1147
Vaara;1147
Janhunen;1143
Parikka;1142
Veijalainen;1141
Gröhn;1139
Peura;1139
Ström;1139
Ilomäki;1138
Kirjavainen;1138
Sarajärvi;1137
Granlund;1136
Jalava;1135
Saario;1134
Junnila;1131
Sundell;1131
Majuri;1129
Marjamäki;1129
Vänttinen;1128
Palo;1127
Rahikainen;1126
Laatikainen;1125
Ripatti;1124
Saarikoski;1124
Martin;1123
Häggblom;1121
Tanninen;1121
Vesa;1121
Nikander;1120
Äijälä;1120
Westerholm;1116
Reunanen;1115
Varjonen;1115
Loikkanen;1112
Kauranen;1110
Okkonen;1110
Pentikäinen;1110
Kemppi;1108
Lyytinen;1108
Katainen;1106
Åkerlund;1106
Myllynen;1105
Åberg;1105
Oksa;1104
Heinänen;1103
Hongisto;1102
Jutila;1102
Lampela;1101
Kunnari;1100
Blomberg;1099
Östman;1097
Hassan;1095
Lukkari;1094
Nisula;1093
Rosenberg;1093
Kesti;1088
Vilén;1085
Kekki;1084
Ahlgren;1083
Rautanen;1082
Paasonen;1081
Juhola;1080
Hulkkonen;1079
Forsberg;1076
Korkiakoski;1075
Ristimäki;1075
Knuutila;1070
Sjöholm;1070
Maijala;1065
Niinimäki;1063
Forss;1058
Tissari;1058
Vornanen;1055
Söderström;1050
Takkinen;1050
Kytölä;1045
Kontkanen;1044
Sorvari;1044
Lamminen;1041
Kolari;1040
Pollari;1040
Arvola;1039
Nilsson;1035
Ropponen;1035
Lundström;1034
Heikura;1032
Tuppurainen;1032
Tran;1030
Weckström;1030
Bäckman;1029
Myllykoski;1024
Hedman;1023
Aronen;1022
Mäkipää;1022
Hietamäki;1019
Ijäs;1016
Österberg;1015
Roininen;1014
Hirvelä;1013
Malm;1012
Hintsala;1011
Juutinen;1011
Saloranta;1010
Similä;1010
Vikström;1009
Metso;1008
Tiitinen;1002
Palm;1001
Markkula;1000
Uutela;999
Korpinen;998
Kela;997
Lempiäinen;996
Härmä;995
Koivukangas;993
Ylikoski;986
Kaasinen;984
Peltokangas;984
Ekström;983
Lång;982
Strömberg;982
Kapanen;981
Olli;981
Puurunen;980
Hildén;977
Rajaniemi;977
Kemppinen;976
Laitala;975
Porkka;975
Yrjölä;975
Niva;974
Nummi;973
Rahkola;972
Tuukkanen;972
Hujanen;971
Katajisto;971
Björkman;968
Rusanen;968
Järveläinen;967
Roivainen;967
Toikkanen;965
Kallinen;963
Salomäki;963
Höglund;960
Surakka;954
Pärssinen;953
Suorsa;948
Viljamaa;948
Haarala;947
Luukkanen;947
Pulliainen;946
Uimonen;945
Österlund;944
Enqvist;941
Kröger;940
Teittinen;940
Ilvonen;938
Koskelo;936
Asplund;935
Dahl;934
Kurkela;933
Rannikko;932
Törmä;932
Nordberg;931
Syrjä;931
Virkki;930
Björk;928
Ikävalko;928
Hietikko;927
Loponen;926
Käyhkö;925
Mönkkönen;924
Siira;924
Sirkiä;923
Kajander;922
Kaski;922
Könönen;922
Palokangas;922
Kuvaja;921
Rönkä;921
Purhonen;919
Suonpää;919
Mehtälä;918
Metsälä;918
Terho;918
Hellström;916
Karppanen;916
Stenman;916
Koskelainen;913
Juuti;909
Kaasalainen;909
Lohi;909
Nokelainen;909
Kasurinen;906
Luokkanen;906
Riekki;906
Romppainen;906
Backlund;905
Henttonen;905
Kallioniemi;905
Toropainen;905
Kopra;904
Kulju;903
Palviainen;903
Pusa;902
Parkkila;901
Siponen;901
Klemola;900
Pajula;900
Palola;900
Oksman;899
Lievonen;897
Lindblom;897
Perkiö;897
Pöntinen;893
Back;892
Kanniainen;891
Häyrinen;887
Knuuttila;886
Malin;886
Sandell;886
Pöyry;885
Naumanen;883
Mantere;882
Isomäki;881
Smeds;880
Paldanius;878
Heikkonen;876
Nummelin;876
Arponen;873
Rouvinen;873
Lund;872
Norrgård;872
Boman;870
Liimatta;870
Ruokolainen;870
Granqvist;869
Puolakka;868
Toiviainen;867
Vesanen;867
Lahtela;863
Ukkola;863
Isoaho;862
Kotiranta;862
Haakana;861
Myllyniemi;860
Miettunen;859
Kurtti;858
Mäkynen;858
Kankare;857
Paaso;857
Huovila;854
Vierimaa;854
Luomala;853
Lehtomäki;852
Vähäkangas;850
Ahlqvist;848
Sironen;848
Herrala;847
Isaksson;845
Jurvanen;844
Pyykönen;844
Pajari;841
Silander;839
Särkkä;839
Sorjonen;838
Hyyryläinen;837
Laasonen;837
Räikkönen;837
Ohtonen;836
Flink;835
Halinen;834
Myller;834
Hagman;833
Berglund;832
Pernu;831
Tuomikoski;830
Lahdenperä;829
Suikkanen;828
Haapasalo;827
Siren;827
Vaarala;825
Valo;825
Engström;824
Launonen;824
Niemistö;824
Knuutinen;823
Lauronen;823
Takalo;823
Tammela;823
Savola;819
Brandt;818
Kallioinen;817
Schroderus;817
Möttönen;816
Rask;815
Stenroos;815
Huuhtanen;814
Raivio;814
Korkalainen;813
Pakkala;812
Rinkinen;812
Vihavainen;812
Riekkinen;811
Ristola;809
Viskari;809
Kurkinen;808
Ruusunen;808
Wiik;808
Viinikka;807
Malmi;806
Poikonen;806
Helle;805
Korkala;805
Kujansuu;804
Myyryläinen;804
Saaristo;803
Laurikainen;801
Oinas;801
Reiman;800
Taskila;798
Husu;797
Haatainen;795
Hinkkanen;795
Paloniemi;793
Ristolainen;791
Tuunanen;791
Vahtera;791
Tikkala;790
Illikainen;789
Fredriksson;787
Koikkalainen;787
Rosendahl;787
Ylimäki;787
Kinnari;784
Pentti;784
Kostiainen;783
Myllykangas;783
Havukainen;781
Aikio;780
Bäckström;780
Jakobsson;780
Kojo;780
Lähdesmäki;779
Lampi;778
Mertanen;778
Kantonen;776
Koivuranta;775
Saarnio;774
Kunnas;773
Bäck;772
Lepola;772
Ahvenainen;771
Maunula;770
Nivala;770
Rosenqvist;770
Hyppönen;768
Hagert;767
Pölönen;766
Forsell;763
Marin;763
Ilola;762
Vento;762
Kankainen;760
Kallunki;758
Tuisku;758
Pohjolainen;757
Taavitsainen;757
Uitto;757
Keto;756
Pussinen;755
Sorri;755
Karhula;754
Järvensivu;752
Riipinen;752
Tanner;752
Ruhanen;750
Tammisto;750
Grönberg;749
Huhtamäki;749
Tuohimaa;749
Hölttä;748
Pullinen;748
Käkelä;747
Laukka;747
Pohjalainen;747
Viita;747
Kurikka;744
Puska;744
Suojanen;744
Varonen;744
Lötjönen;742
Poikela;742
Rastas;741
Reinikka;741
